2026-06-16 19:43:11.788 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.788 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.788 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.789 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.789 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.789 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.791 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.791 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.791 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.815 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.818 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.818 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.818 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.818 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.818 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.819 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.819 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.819 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.819 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.819 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.822 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.824 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.828 | WARNING  | chatchat.server.utils:get_config_models:138 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.829 | WARNING  | chatchat.server.utils:get_default_embedding:193 - default embedding model bge-m3 is not found in available embeddings, using bge-large-zh-v1.5 instead
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.834 | INFO     | __main__:init:47 - 开始初始化项目数据目录：D:\javaSoft\BigData\Langchain-Chatchat-0.3.1\libs\chatchat-server
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.839 | INFO     | __main__:init:49 - 创建所有数据目录：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
2026-06-16 19:43:11.852 | INFO     | __main__:init:51 - 复制 samples 知识库文件：成功。
